2025-07-20 09:45:01.717 | INFO     | agent_memory_system.utils.logger:info:176 | 使用CPU向量索引
2025-07-20 09:45:01.736 | INFO     | agent_memory_system.utils.logger:info:176 | 图存储初始化完成
2025-07-20 09:45:01.736 | WARNING  | agent_memory_system.utils.logger:warning:179 | 加密密钥格式不正确,使用随机生成的密钥
2025-07-20 09:45:01.738 | INFO     | agent_memory_system.utils.logger:info:176 | 缓存存储初始化完成
2025-07-20 09:45:01.739 | INFO     | agent_memory_system.utils.logger:info:176 | 记忆管理器初始化完成
2025-07-20 09:45:01.740 | INFO     | agent_memory_system.utils.logger:info:176 | 使用CPU向量索引
2025-07-20 09:45:01.764 | INFO     | agent_memory_system.utils.logger:info:176 | 图存储初始化完成
2025-07-20 09:45:01.774 | INFO     | agent_memory_system.utils.logger:info:176 | 使用CPU向量索引
2025-07-20 09:45:01.791 | INFO     | agent_memory_system.utils.logger:info:176 | 图存储初始化完成
2025-07-20 09:45:01.792 | WARNING  | agent_memory_system.utils.logger:warning:179 | 加密密钥格式不正确,使用随机生成的密钥
2025-07-20 09:45:01.794 | INFO     | agent_memory_system.utils.logger:info:176 | 缓存存储初始化完成
2025-07-20 09:45:01.794 | INFO     | agent_memory_system.utils.logger:info:176 | 记忆管理器初始化完成
2025-07-20 09:45:01.794 | INFO     | agent_memory_system.utils.logger:info:176 | 使用CPU向量索引
2025-07-20 09:45:01.810 | INFO     | agent_memory_system.utils.logger:info:176 | 图存储初始化完成
2025-07-20 09:45:01.931 | WARNING  | __main__:init_app:45 | 环境变量文件不存在: /app/.env
