2025-07-20 08:38:35.311 | INFO     | agent_memory_system.utils.logger:info:176 | 使用CPU向量索引
2025-07-20 08:38:35.331 | INFO     | agent_memory_system.utils.logger:info:176 | 图存储初始化完成
2025-07-20 08:38:35.331 | WARNING  | agent_memory_system.utils.logger:warning:179 | 加密密钥格式不正确,使用随机生成的密钥
2025-07-20 08:38:35.334 | INFO     | agent_memory_system.utils.logger:info:176 | 缓存存储初始化完成
2025-07-20 08:38:35.334 | INFO     | agent_memory_system.utils.logger:info:176 | 记忆管理器初始化完成
2025-07-20 08:38:35.336 | INFO     | agent_memory_system.utils.logger:info:176 | 使用CPU向量索引
2025-07-20 08:38:35.353 | INFO     | agent_memory_system.utils.logger:info:176 | 图存储初始化完成
2025-07-20 08:38:35.362 | INFO     | agent_memory_system.utils.logger:info:176 | 使用CPU向量索引
2025-07-20 08:38:35.381 | INFO     | agent_memory_system.utils.logger:info:176 | 图存储初始化完成
2025-07-20 08:38:35.382 | WARNING  | agent_memory_system.utils.logger:warning:179 | 加密密钥格式不正确,使用随机生成的密钥
2025-07-20 08:38:35.385 | INFO     | agent_memory_system.utils.logger:info:176 | 缓存存储初始化完成
2025-07-20 08:38:35.385 | INFO     | agent_memory_system.utils.logger:info:176 | 记忆管理器初始化完成
2025-07-20 08:38:35.386 | INFO     | agent_memory_system.utils.logger:info:176 | 使用CPU向量索引
2025-07-20 08:38:35.402 | INFO     | agent_memory_system.utils.logger:info:176 | 图存储初始化完成
2025-07-20 08:38:35.521 | WARNING  | __main__:init_app:45 | 环境变量文件不存在: /app/.env
