2025-07-20 06:43:08.780 | INFO     | agent_memory_system.utils.logger:info:176 | 使用CPU向量索引
2025-07-20 06:43:08.804 | INFO     | agent_memory_system.utils.logger:info:176 | 图存储初始化完成
2025-07-20 06:43:08.805 | WARNING  | agent_memory_system.utils.logger:warning:179 | 加密密钥格式不正确,使用随机生成的密钥
2025-07-20 06:43:08.810 | INFO     | agent_memory_system.utils.logger:info:176 | 缓存存储初始化完成
2025-07-20 06:43:08.811 | INFO     | agent_memory_system.utils.logger:info:176 | 记忆管理器初始化完成
2025-07-20 06:43:08.815 | INFO     | agent_memory_system.utils.logger:info:176 | 使用CPU向量索引
2025-07-20 06:43:08.842 | INFO     | agent_memory_system.utils.logger:info:176 | 图存储初始化完成
2025-07-20 06:43:08.866 | INFO     | agent_memory_system.utils.logger:info:176 | 使用CPU向量索引
2025-07-20 06:43:08.884 | INFO     | agent_memory_system.utils.logger:info:176 | 图存储初始化完成
2025-07-20 06:43:08.884 | WARNING  | agent_memory_system.utils.logger:warning:179 | 加密密钥格式不正确,使用随机生成的密钥
2025-07-20 06:43:08.887 | INFO     | agent_memory_system.utils.logger:info:176 | 缓存存储初始化完成
2025-07-20 06:43:08.887 | INFO     | agent_memory_system.utils.logger:info:176 | 记忆管理器初始化完成
2025-07-20 06:43:08.888 | INFO     | agent_memory_system.utils.logger:info:176 | 使用CPU向量索引
2025-07-20 06:43:08.909 | INFO     | agent_memory_system.utils.logger:info:176 | 图存储初始化完成
