2025-07-20 05:43:26.638 | INFO     | agent_memory_system.utils.logger:info:170 | 使用CPU向量索引
2025-07-20 05:43:26.654 | INFO     | agent_memory_system.utils.logger:info:170 | 图存储初始化完成
2025-07-20 05:43:26.654 | WARNING  | agent_memory_system.utils.logger:warning:173 | 加密密钥格式不正确,使用随机生成的密钥
2025-07-20 05:43:26.657 | INFO     | agent_memory_system.utils.logger:info:170 | 缓存存储初始化完成
2025-07-20 05:43:26.657 | INFO     | agent_memory_system.utils.logger:info:170 | 记忆管理器初始化完成
2025-07-20 05:43:26.657 | INFO     | agent_memory_system.utils.logger:info:170 | 使用CPU向量索引
2025-07-20 05:43:26.668 | INFO     | agent_memory_system.utils.logger:info:170 | 图存储初始化完成
2025-07-20 05:43:26.675 | INFO     | agent_memory_system.utils.logger:info:170 | 使用CPU向量索引
2025-07-20 05:43:26.683 | INFO     | agent_memory_system.utils.logger:info:170 | 图存储初始化完成
2025-07-20 05:43:26.684 | WARNING  | agent_memory_system.utils.logger:warning:173 | 加密密钥格式不正确,使用随机生成的密钥
2025-07-20 05:43:26.686 | INFO     | agent_memory_system.utils.logger:info:170 | 缓存存储初始化完成
2025-07-20 05:43:26.687 | INFO     | agent_memory_system.utils.logger:info:170 | 记忆管理器初始化完成
2025-07-20 05:43:26.687 | INFO     | agent_memory_system.utils.logger:info:170 | 使用CPU向量索引
2025-07-20 05:43:26.696 | INFO     | agent_memory_system.utils.logger:info:170 | 图存储初始化完成
